Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belarus,GDP (current US$),,,21650000000,18000000000,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594928109,17825437483,23141593074,30210091837,36961822468,45275747157,60752177439,50873181572,57231904543,61762340943,65685903570,75527537703,78812785768,56454895055,47723549319,54725311690,60031163987,64410112583,61371755326,69673747132,72793457588
Belgium,GDP (current US$),162299103675,164221056511,205331747948,210510999409,234781652447,224721795709,244884129491,288025588396,279201433225,252708051421,258528339631,258245733221,236792460312,236746141604,258383599375,318082528507,369214712443,385714762230,408259840869,470922156309,517328087920,483254171098,481420882905,523330354138,496152879925,521791015247,535390200131,462335574841,476062757357,502764720556,543299066999,535865692402,525213067068,594351961634,578604103123
Belize,GDP (current US$),"320093360,3","369133890,7",549500000,599000000,693500000,751000000,771500000,818500000,851500000,868000000,914000000,975000000,1116000000,1163000000,1233000000,1298000000,1389500000,1461500000,1581000000,1696000000,1729000000,1680500000,1738500000,1819500000,1903000000,2029500000,2138000000,2210500000,2258500000,2286000000,2315000000,2416500000,2080000000,2491500000,2824081836
Benin,GDP (current US$),1620246085,1502294414,1959965330,1986437798,1695315306,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,3677393997,3519991440,3666222634,4194342689,5349258093,6190270377,6567654959,7034111316,8169048375,9787734517,9738626510,9535345011,10693321370,11141358106,12517845128,13284527850,11388160997,11821065852,12701655846,14262408080,14391686309,15651545209,17690083520,17401746309
Bermuda,GDP (current US$),1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7127200000,7550500000
Bhutan,GDP (current US$),272298060,"264798626,2","287765007,1","240294282,5","240233528,1","225973695,3","258954703,9","290490986,8","303408342,8","352229078,3","363458380,9","399311196,4",424448931,"461479580,2","520846131,7","603999372,4","682577073,5",796938572,"874989734,7",1168307575,1227809261,1234015142,1547990907,1777102586,1781280170,1756214304,1907090362,2003596824,2158971718,2450366108,2446867582,2535655609,2325185521,2539551327,
Bolivia,GDP (current US$),4597612362,4715972853,4867582598,5343261960,5643869231,5734699041,5981223290,6715162199,7396948398,7925736319,8497494138,8285063959,8397855937,8141517339,7905485146,8082399991,8773451752,9549122313,11451845379,13120107739,16674276979,17339992194,19649724656,23963162969,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40408208524,43068885673
Bosnia and Herzegovina,GDP (current US$),,,,,,,1255802469,1866572954,2786045322,3671910026,4116775275,4686255381,5567774049,5800616572,6728219507,8498893358,10156541358,11222796197,12864842269,15778737117,19112801197,17613946109,17176320823,18644239028,17226736285,18179104549,18558731213,16404352156,17116926092,18326376394,20484048416,20482603346,20226030731,23649566069,24527507288
Botswana,GDP (current US$),2644554882,3083822367,3790636664,3942877354,4146464587,4160129175,4259258811,4730599691,4847757704,5020265168,4790481509,5484263050,5788329609,5489608300,5438864269,7511582173,8957467707,9918907108,9919158482,10567270656,10730828592,10118459714,12637273429,15110642876,13907464500,14271738367,15470087926,13530749290,15082636723,16105156376,17031943186,16725908662,14960291541,18737066307,20352322157
Brazil,GDP (current US$),307881930752,412990820287,464989098145,407729053019,390566561753,438299504463,546229749726,769333330440,850426432992,883206452833,863711007339,599642075039,655448188246,559983704076,509795270707,558233724161,669289321954,891633826583,1107626711436,1397114247288,1695855391816,1666996294325,2208838108593,2616156606735,2465228293863,2472819362259,2456043766064,1802211999556,1795693265824,2063514688762,1916933708404,1873288159001,1476107292037,1649622972159,1920095560995
Brunei,GDP (current US$),2690684125,2985531763,3520486980,3701774189,4183633796,4105729444,4087219773,4734103536,5115454694,5197312555,4051143193,4600117604,6001280944,5601020247,5843367180,6557395816,7872201251,9531417164,11470462365,12247680703,14393437610,10732592999,13707275498,18525128230,19048443089,18094326393,17097801092,12930292949,11400467372,12128182464,13567164445,13469240163,12005795915,14006497000,16681531646
Bulgaria,GDP (current US$),22555941176,21988444444,20632090909,10943548387,10350515464,10832228507,9697416974,18991531543,12294987876,11316126258,15031052201,13627325461,13245990274,14183443862,16403043850,21144962058,26157744753,29868651533,34380543845,44432811756,54480697770,52023813558,50754203891,57735709914,54290156342,55844245264,57159557805,50828088836,53987487124,59343060706,66399602077,68911930628,70404359049,84061395658,89040398406
Burkina Faso,GDP (current US$),2616040481,2615587730,3101300779,3135045586,3356692508,3199536460,1895290638,2379517976,2586550594,2447669100,2804902369,3389566711,2968370087,3190371080,3622350066,4740768141,5451688535,6146353177,6547419822,7625722829,9451435481,9450696866,10109619736,12080295985,12561015145,13444300490,13943016080,11832159316,12833363044,14106955625,15890066210,16178161666,17933606213,19737616003,18884619613
Burundi,GDP (current US$),1082403219,1113924130,1132101253,1167398478,1083037671,938632612,"925030590,2",1000428394,"869033856,3","972896267,9","893770739,5","808077223,4","870486065,9","876794723,1","825394519,7","784654423,6","915257323,4",1117113080,1273375078,1356199387,1611835857,1781455140,2032135191,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586962,2667182199,2576518879,2649680261,2775798697,3073414678
Cambodia,GDP (current US$),,,,,,2533727592,2791435272,3441205693,3506695720,3443413389,3120425503,3517242477,3654031716,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235913,10351914178,10401851767,11242275289,12829541141,14054443213,15227991395,16702610842,18049954289,20016747858,22177200589,24571753582,27089390033,25872797892,26961061152,29956769529
Cameroon,GDP (current US$),12236057370,11012566178,12314482630,11840192304,12071775346,16181814684,8902446258,10864772473,11093538841,10789458426,11298144999,11565826459,10566579295,10953485345,12417251342,15970315030,18826214125,19509852219,20910512978,23928250410,27715142006,27932970297,27507501809,30630910513,30155062303,33728621190,36386544716,32210233022,33814337041,36098547059,39973842059,39670976440,40773241212,45338285386,44341646509
Canada,GDP (current US$),509379677196,567225367034,596089064840,612513895513,594376087449,579059001031,579944346807,605941036992,630597987889,654987932557,633997734247,678409995712,744773415932,738962729045,760649334098,895540646635,1026690238278,1173108598779,1319264809591,1468820407783,1552989690722,1374625142157,1617343367486,1793326630175,1828366481522,1846597421835,1805749878440,1556508816217,1527994741907,1649265644244,1725297938436,1743725183673,1647598402303,2001486745424,2139840023674
Cape Verde,GDP (current US$),"264308140,3","267448570,3","306890961,2","319827058,6","357160985,3","490417389,7","406580652,3","487148993,5","501979271,9","490608657,9","521910560,5","592416703,1","539227277,6","563090488,9","620507385,7","813260468,9","924940012,9","972241682,1",1107571459,1649621735,1959620653,1852334581,1824751460,2046817975,1913081206,2028910915,2041930125,1749857628,1849789993,1996741545,2205099509,2266752197,1878277311,2091741774,2314816792
Cayman Islands,GDP (current US$),,,,,,,,,,,,,,,,,,,4200288282,4466278031,4585948969,4281714618,4156841164,4186073160,4291004486,4405796081,4562853582,4708167255,4909322200,5166281293,5530178499,5941896600,5647224973,6028373541,
